$  tcpdump -i eth0

...(too long to paste entire output)
18:42:22.300140 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 154904:155076, ack 73, win 313, length 172
18:42:22.300284 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 155076:155248, ack 73, win 313, length 172
18:42:22.300440 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 155248:155420, ack 73, win 313, length 172
18:42:22.300569 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 155420:155592, ack 73, win 313, length 172
18:42:22.300694 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 155592:155764, ack 73, win 313, length 172
18:42:22.300833 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 155764:155936, ack 73, win 313, length 172
18:42:22.300972 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 155936:156108, ack 73, win 313, length 172
18:42:22.301120 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 156108:156280, ack 73, win 313, length 172
18:42:22.301270 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 156280:156452, ack 73, win 313, length 172
18:42:22.301388 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 156452:156624, ack 73, win 313, length 172
18:42:22.301540 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 156624:156796, ack 73, win 313, length 172
18:42:22.301699 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 156796:156968, ack 73, win 313, length 172
18:42:22.301847 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 156968:157140, ack 73, win 313, length 172
18:42:22.301983 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 157140:157312, ack 73, win 313, length 172
18:42:22.302132 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 157312:157484, ack 73, win 313, length 172
18:42:22.302274 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 157484:157656, ack 73, win 313, length 172
18:42:22.302415 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 157656:157828, ack 73, win 313, length 172
18:42:22.302567 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 157828:158000, ack 73, win 313, length 172
18:42:22.302729 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 158000:158172, ack 73, win 313, length 172
18:42:22.302873 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 158172:158344, ack 73, win 313, length 172
18:42:22.303061 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 158344:158516, ack 73, win 313, length 172
18:42:22.303217 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 158516:158688, ack 73, win 313, length 172
18:42:22.303330 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 158688:158860, ack 73, win 313, length 172
18:42:22.303475 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 158860:159032, ack 73, win 313, length 172
18:42:22.303628 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 159032:159204, ack 73, win 313, length 172
18:42:22.303781 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 159204:159376, ack 73, win 313, length 172
18:42:22.303926 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 159376:159548, ack 73, win 313, length 172
18:42:22.304029 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 159548:159720, ack 73, win 313, length 172
18:42:22.304157 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 159720:159892, ack 73, win 313, length 172
18:42:22.304262 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 159892:160064, ack 73, win 313, length 172
18:42:22.304354 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 160064:160236, ack 73, win 313, length 172
18:42:22.304477 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 160236:160408, ack 73, win 313, length 172
18:42:22.304596 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 160408:160580, ack 73, win 313, length 172
18:42:22.304698 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 160580:160752, ack 73, win 313, length 172
18:42:22.304789 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 160752:160924, ack 73, win 313, length 172
18:42:22.304878 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 160924:161096, ack 73, win 313, length 172
18:42:22.304970 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 161096:161268, ack 73, win 313, length 172
18:42:22.305060 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 161268:161440, ack 73, win 313, length 172
18:42:22.305151 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 161440:161612, ack 73, win 313, length 172
18:42:22.305240 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 161612:161784, ack 73, win 313, length 172
18:42:22.305329 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 161784:161956, ack 73, win 313, length 172
18:42:22.305436 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 161956:162128, ack 73, win 313, length 172
18:42:22.305547 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 162128:162300, ack 73, win 313, length 172
18:42:22.305651 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 162300:162472, ack 73, win 313, length 172
18:42:22.305747 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 162472:162644, ack 73, win 313, length 172
18:42:22.305836 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 162644:162816, ack 73, win 313, length 172
18:42:22.305966 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 162816:162988, ack 73, win 313, length 172
18:42:22.306116 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 162988:163160, ack 73, win 313, length 172
18:42:22.306220 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 163160:163332, ack 73, win 313, length 172
18:42:22.306334 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 163332:163504, ack 73, win 313, length 172
18:42:22.306478 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 163504:163676, ack 73, win 313, length 172
18:42:22.306586 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 163676:163848, ack 73, win 313, length 172
18:42:22.306696 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 163848:164020, ack 73, win 313, length 172
18:42:22.306851 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 164020:164192, ack 73, win 313, length 172
18:42:22.307033 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 164192:164364, ack 73, win 313, length 172
18:42:22.307185 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 164364:164536, ack 73, win 313, length 172
18:42:22.307347 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 164536:164708, ack 73, win 313, length 172
18:42:22.307501 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 164708:164880, ack 73, win 313, length 172
18:42:22.307658 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 164880:165052, ack 73, win 313, length 172
18:42:22.307803 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 165052:165224, ack 73, win 313, length 172
18:42:22.307970 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 165224:165396, ack 73, win 313, length 172
18:42:22.308149 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 165396:165568, ack 73, win 313, length 172
18:42:22.308283 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 165568:165740, ack 73, win 313, length 172
18:42:22.308441 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 165740:165912, ack 73, win 313, length 172
18:42:22.308564 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 165912:166084, ack 73, win 313, length 172
18:42:22.308711 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 166084:166256, ack 73, win 313, length 172
18:42:22.308864 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 166256:166428, ack 73, win 313, length 172
18:42:22.308979 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 166428:166600, ack 73, win 313, length 172
18:42:22.309086 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 166600:166772, ack 73, win 313, length 172
18:42:22.309228 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 166772:166944, ack 73, win 313, length 172
18:42:22.309366 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 166944:167116, ack 73, win 313, length 172
18:42:22.309529 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 167116:167288, ack 73, win 313, length 172
18:42:22.309687 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 167288:167460, ack 73, win 313, length 172
18:42:22.309847 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 167460:167632, ack 73, win 313, length 172
18:42:22.309992 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 167632:167804, ack 73, win 313, length 172
18:42:22.310145 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 167804:167976, ack 73, win 313, length 172
18:42:22.310306 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 167976:168148, ack 73, win 313, length 172
18:42:22.310479 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 168148:168320, ack 73, win 313, length 172
18:42:22.310588 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 168320:168492, ack 73, win 313, length 172
18:42:22.310659 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [.], ack 156280, win 4103, length 0
18:42:22.310819 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 168492:168776, ack 73, win 313, length 284
18:42:22.311003 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 168776:168948, ack 73, win 313, length 172
18:42:22.311138 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 168948:169120, ack 73, win 313, length 172
18:42:22.311262 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 169120:169292, ack 73, win 313, length 172
18:42:22.311414 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 169292:169464, ack 73, win 313, length 172
18:42:22.311573 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 169464:169636, ack 73, win 313, length 172
18:42:22.311688 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 169636:169808, ack 73, win 313, length 172
18:42:22.311781 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 169808:169980, ack 73, win 313, length 172
18:42:22.311901 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 169980:170152, ack 73, win 313, length 172
18:42:22.312051 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 170152:170324, ack 73, win 313, length 172
18:42:22.312185 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 170324:170496, ack 73, win 313, length 172
18:42:22.312287 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [.], ack 157828, win 4103, length 0
18:42:22.312318 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [P.], seq 73:109, ack 157828, win 4103, length 36
18:42:22.312475 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 170496:170668, ack 109, win 313, length 172
18:42:22.312590 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 170668:170944, ack 109, win 313, length 276
18:42:22.312676 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 170944:171116, ack 109, win 313, length 172
18:42:22.312764 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 171116:171288, ack 109, win 313, length 172
18:42:22.312902 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 171288:171460, ack 109, win 313, length 172
